
2294,  606,  429,  344,  293,  258,  232,  212,  197,  184,  173,  164,  156, 
 149,  142,  137,  132,  128,  124,  120,  117,  114,  111,  108,  106,  104, 
 101,   99,   98,   96,   94,   93,   91,   90,   89,   87,   86,   85,   84, 
  83,   82,   81,   80,   79,   79,   78,   77,   76,   76,   75,   74,   74, 
  73,   73,   72,   72,   71,   71,   70,   70,   69,   69,   69,   68,   68, 
  68,   67,   67,   67,   66,   66,   66,   66,   65,   65,   65,   65,   65, 
  64,   64,   64,   64,   64,   64,   63,   63,   63,   63,   63,   63,   63, 
  63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   63, 
  63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   63,   64, 
  64,   64,   64,   64,   64,   65,   65,   65,   65,   65,   66,   66,   66, 
  66,   67,   67,   67,   68,   68,   68,   69,   69,   69,   70,   70,   71, 
  71,   72,   72,   73,   73,   74,   74,   75,   76,   76,   77,   78,   79, 
  79,   80,   81,   82,   83,   84,   85,   86,   87,   89,   90,   91,   93, 
  94,   96,   98,   99,  101,  104,  106,  108,  111,  114,  117,  120,  124, 
 128,  132,  137,  142,  149,  156,  164,  173,  184,  197,  212,  232,  258, 
 293,  344,  429,  606, 2294
